,usage_year,usage_month,geoid10,cust_loc_irr_area_sf,usage_et_amount,usage_ccf,cust_id_from_utility,cust_loc_hhsize,population,pop_LAR,efficiency_target_ccf,usage_date
945,2011,8,60590320281004,112930.0,5.49,470,31,130.0,113,0.140146631743,662.588505882,2011-08-01
946,2011,8,60590320281007,244828.0,5.49,1569,106,454.0,413,0.0946496050803,1807.09989176,2011-08-01
947,2011,8,60590320281008,162604.0,5.44,702,48,196.0,180,0.0851578083403,986.769330196,2011-08-01
948,2011,8,60590320281009,111436.0,5.42,238,17,68.0,89,-0.269128664556,598.978942745,2011-08-01
949,2011,8,60590320281010,85072.0,5.45,499,35,140.0,155,-0.10178269431,651.006698039,2011-08-01
950,2011,8,60590320281011,131806.0,5.66,823,47,195.0,170,0.137201121513,872.347973333,2011-08-01
951,2011,8,60590320282002,7500.0,5.44,442,75,231.0,243,-0.0506437328188,563.229411765,2011-08-01
952,2011,8,60590320282016,2600.0,5.42,106,20,60.0,83,-0.324496045574,192.482901961,2011-08-01
954,2011,8,60590320282023,3800.0,5.44,221,39,126.0,149,-0.167664398994,342.457803922,2011-08-01
955,2011,8,60590320282027,104585.0,5.44,777,90,304.0,358,-0.163505284994,1169.00081569,2011-08-01
956,2011,8,60590320282028,70053.0,5.44,313,22,89.0,61,0.377762505559,388.617703529,2011-08-01
957,2011,8,60590320302001,800100.0,5.47,3745,197,799.0,705,0.125163142954,4472.84505882,2011-08-01
958,2011,8,60590320302002,161607.0,5.42,864,50,207.0,172,0.185224316452,963.351724706,2011-08-01
959,2011,8,60590320302003,162205.0,5.44,815,51,211.0,166,0.23987034512,954.439937255,2011-08-01
960,2011,8,60590320302004,42279.0,5.42,218,18,72.0,62,0.149531733971,289.532825882,2011-08-01
961,2011,8,60590320302005,136985.0,5.47,649,39,165.0,114,0.369747025506,751.009221569,2011-08-01
962,2011,8,60590320302006,151295.0,5.47,902,42,174.0,123,0.346870943842,823.045962745,2011-08-01
963,2011,8,60590320302007,90561.0,5.47,572,31,124.0,103,0.185552577375,557.451662353,2011-08-01
964,2011,8,60590320302008,41432.0,5.47,294,15,63.0,52,0.19189100781,265.794575686,2011-08-01
965,2011,8,60590320302009,213846.0,5.49,1226,67,284.0,253,0.115584749434,1340.76459529,2011-08-01
966,2011,8,60590320302010,181633.0,5.42,824,51,211.0,157,0.295612328128,1002.62410275,2011-08-01
967,2011,8,60590320302011,150856.0,5.42,758,53,214.0,174,0.206920715807,928.916542745,2011-08-01
968,2011,8,60590320302012,110880.0,5.42,579,37,150.0,132,0.12783337151,691.822870588,2011-08-01
971,2011,8,60590423071002,123340.0,5.25,803,46,193.0,197,-0.0205135398331,866.248823529,2011-08-01
972,2011,8,60590423071003,36063.0,5.25,210,15,60.0,100,-0.510825623766,346.808735294,2011-08-01
974,2011,8,60590423071005,142318.0,5.25,592,31,128.0,161,-0.229374101065,853.260058824,2011-08-01
975,2011,8,60590423071006,77412.0,5.25,315,18,79.0,70,0.120952610418,425.353764706,2011-08-01
976,2011,8,60590423071007,115531.0,5.25,533,29,123.0,97,0.237473376869,618.329088235,2011-08-01
977,2011,8,60590423071008,102336.0,5.25,572,29,127.0,95,0.290310194858,567.734823529,2011-08-01
978,2011,8,60590423071009,49487.0,5.25,286,16,71.0,67,0.0579872576503,320.998617647,2011-08-01
980,2011,8,60590423071011,110171.0,5.25,603,30,120.0,91,0.276632236265,586.333794118,2011-08-01
981,2011,8,60590423071012,94151.0,5.25,448,23,105.0,93,0.121360857004,534.675558824,2011-08-01
982,2011,8,60590423071013,118553.0,5.25,750,32,145.0,93,0.444134249267,620.082558824,2011-08-01
983,2011,8,60590423071014,76204.0,5.25,441,21,84.0,73,0.140357357695,427.743411765,2011-08-01
984,2011,8,60590423071015,284348.0,5.24,1263,57,234.0,227,0.0303710978763,1494.05764078,2011-08-01
985,2011,8,60590423071016,105646.0,5.15,549,28,118.0,123,-0.0414997309068,634.041462745,2011-08-01
986,2011,8,60590423071017,78182.0,5.24,364,20,90.0,81,0.105360515658,451.792257255,2011-08-01
987,2011,8,60590423071018,109715.0,5.25,497,27,110.0,88,0.223143551314,578.120147059,2011-08-01
988,2011,8,60590423071019,130558.0,5.25,600,35,154.0,107,0.364123767952,692.982411765,2011-08-01
990,2011,8,60590423071021,167516.0,5.24,733,45,185.0,152,0.196475304232,920.483344314,2011-08-01
991,2011,8,60590423072009,148045.0,5.25,677,40,174.0,164,0.0591888713903,879.922205882,2011-08-01
993,2011,8,60590423072011,98232.0,5.25,627,33,140.0,125,0.113328685307,619.547294118,2011-08-01
994,2011,8,60590423073001,124838.0,5.32,575,48,193.0,212,-0.0938960857671,910.405832157,2011-08-01
995,2011,8,60590423073002,71421.0,5.32,352,24,100.0,99,0.0100503358535,471.688832941,2011-08-01
996,2011,8,60590423073003,149664.0,5.32,780,56,235.0,239,-0.0168780377874,1058.01420235,2011-08-01
997,2011,8,60590423073004,43866.0,5.25,225,17,68.0,60,0.125163142954,285.883941176,2011-08-01
998,2011,8,60590423073005,227530.0,5.32,959,57,248.0,208,0.175890666464,1265.79659608,2011-08-01
999,2011,8,60590423073006,75300.0,5.25,374,16,71.0,37,0.651761964397,345.167647059,2011-08-01
1000,2011,8,60590423073007,142802.0,5.32,673,47,197.0,157,0.22695792339,852.794622745,2011-08-01
1001,2011,8,60590423073008,266169.0,5.32,1202,56,234.0,191,0.203047687311,1365.33624941,2011-08-01
